,Time,Speech,,Observation by Code,Common words,General Observation,,,,,,,,,,,,,,,,,
,0:20:16,Ok no blood in the anus.,During - before,,,,,,,,,,,,,,,,,,,,
160116,,,,,,,,,,,,,,,,,,,,,,,
106,,Let's try to stabilize his leg so we can log roll,,,,,,,,,,,,,,,,,,,,,
120,,Do you have any pain in your back?,,,,,,,,,,,,,,,,,,,,,
122,,"Alright, I'd like to log roll him but we need to figure out a way to keep his legs stable.",,,,,,,,,,,,,,,,,,,,,
125,,"So I think we’re going to need several people to help us with keep his legs stable, and we need to look at his back.",,,,,,,,,,,,,,,,,,,,,
127,,"I mean I think it’s better to go this way, right?",,,,,,,,,,,,,,,,,,,,,
128,,Left side up?,,,,,,,,,,,,,,,,,,,,,
129,,"Yeah, left side up.",,,,,,,,,,,,,,,,,,,,,
130,,We’re going to go this way.,,,,,,,,,,,,,,,,,,,,,
138,,"So we do know this way is suppler, so are we not going to roll him to the point that he’s want to get pressure right?",,,,,,,,,,,,,,,,,,,,,
139,,"We’re going to lift up, turn this way.",,,,,,,,,,,,,,,,,,,,,
140,,"So, head and c-spine.somebody hold the board that way",,,,,,,,,,,,,,,,,,,,,
153,,Does this hurt where I am pressing?,,,,,,,,,,,,,,,,,,,,,
154,,No step offs to the thoracic……,,,,,,,,,,,,,,,,,,,,,
155,,"Slow deep breath buddy, slow deep breath.",,,,,,,,,,,,,,,,,,,,,
156,,You’re doing so good.,,,,,,,,,,,,,,,,,,,,,
157,,"One, two, three turn back.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160436,,,,,,,,,,,,,,,,,,,,,,,
27,,"Did you say, that there is a superficial on the back? On the left scapula, and the left thigh?",,,,,,,,,,,,,,,,,,,,,
44,,"Left leg and the back, but this one appears to be superficial, nothing involving the lung.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160505,,,,,,,,,,,,,,,,,,,,,,,
80,,Alright we're going to turn you on your side and I just want to look at your back and make sure nothing hurts there,,,,,,,,,,,,,,,,,,,,,
81,,The pain on his left should can we turn him on to his right,,,,,,,,,,,,,,,,,,,,,
82,,yes yes,,,,,,,,,,,,,,,,,,,,,
83,,Does it hurt here?,,,,,,,,,,,,,,,,,,,,,
84,,no,,,,,,,,,,,,,,,,,,,,,
85,,here?,,,,,,,,,,,,,,,,,,,,,
86,,a little bit,,,,,,,,,,,,,,,,,,,,,
87,,"So he is complaining of intermid mild discomfort, like a T-2 to T-4, no deformity no step off",,,,,,,,,,,,,,,,,,,,,
88,,"Anywhere else is fine, no blood at the rectum.",,,,,,,,,,,,,,,,,,,,,
89,,"So we have 7 out of 10 left shoulder pain without deformity, and we have about T-2 to T-4 discomfort with patient",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160511,,,,,,,,,,,,,,,,,,,,,,,
223,,Let's turn towards me so someone can support this.,,,,,,,,,,,,,,,,,,,,,
224,,She seems really irritated.,,,,,,,,,,,,,,,,,,,,,
225,,"Yes, we are going to turn her toward me, so I am going to swap.",,,,,,,,,,,,,,,,,,,,,
226,,"We are gonna, I am going to come over there.",,,,,,,,,,,,,,,,,,,,,
227,,"Um, if someone could support the leg and then, so I can look at her back.",,,,,,,,,,,,,,,,,,,,,
235,,"When you are ready, ok, we will go, we will go on your count.",,,,,,,,,,,,,,,,,,,,,
236,,Big turn love.,,,,,,,,,,,,,,,,,,,,,
237,,Does your back hurt?,,,,,,,,,,,,,,,,,,,,,
238,,"Your leg, ya, ok, ok, let me just roll you back.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160519,,,,,,,,,,,,,,,,,,,,,,,
110,(0:17:59),So we just have C-spine and back to do.,,,,,,,,,,,,,,,,,,,,,
111,(0:18:01),"C-spine, back.",,,,,,,,,,,,,,,,,,,,,
123,(0:19:11),"I want you to, ahh, no C-spine tenderness stuck upper deformity. [Can you look down].",,,,,,,,,,,,,,,,,,,,,
124,(0:19:15),Let's just clear it then Cathren.,,,,,,,,,,,,,,,,,,,,,
125,(0:19:16),"Ya good job, look the other way.",,,,,,,,,,,,,,,,,,,,,
126,(0:19:18),"Good job, look at the lady behind you.",,,,,,,,,,,,,,,,,,,,,
127,(0:19:19),[Matter of fact] look at your toes great.,,,,,,,,,,,,,,,,,,,,,
128,(0:19:22),He has slow range of motion without limitations [...].,,,,,,,,,,,,,,,,,,,,,
129,(0:19:24),Right femur is correct.,,,,,,,,,,,,,,,,,,,,,
130,(0:19:28),Alright so we just need to roll and then we’ll summarize.,,,,,,,,,,,,,,,,,,,,,
131,(0:19:37),[irrelevant conversation],,,,,,,,,,,,,,,,,,,,,
132,(0:19:45),[irrelevant conversation],,,,,,,,,,,,,,,,,,,,,
133,(0:20:12),We are ready to roll.,,,,,,,,,,,,,,,,,,,,,
134,(0:20:27),"Ok you are going to relax, we are going to do all the work.",,,,,,,,,,,,,,,,,,,,,
135,(0:20:31),[irrelevant conversation],,,,,,,,,,,,,,,,,,,,,
136,(0:20:40),[irrelevant conversation],,,,,,,,,,,,,,,,,,,,,
137,(0:20:49),Ok we can roll you back.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160523,,,,,,,,,,,,,,,,,,,,,,,
125,(0:10:59),Okay we good to roll,,,,,,,,,,,,,,,,,,,,,
126,(0:11:03),Let's roll him towards you and put his hands to the…,,,,,,,,,,,,,,,,,,,,,
137,(0:12:10),"Roll him like this way, so arms stay on top",,,,,,,,,,,,,,,,,,,,,
138,(0:12:22),It's a 20 gage,,,,,,,,,,,,,,,,,,,,,
139,(0:12:41),"Okay on the count of three, 1 ,2 ,3 ",,,,,,,,,,,,,,,,,,,,,
140,(0:12:52),"All the way up here, pain yes or no?",,,,,,,,,,,,,,,,,,,,,
141,(0:12:53),no,,,,,,,,,,,,,,,,,,,,,
142,(0:12:54),Pain yes or no?,,,,,,,,,,,,,,,,,,,,,
143,(0:12:55),no,,,,,,,,,,,,,,,,,,,,,
144,(0:12:56),Pain yes or no?,,,,,,,,,,,,,,,,,,,,,
145,(0:12:57),no,,,,,,,,,,,,,,,,,,,,,
146,(0:12:58),Pain yes or no?,,,,,,,,,,,,,,,,,,,,,
147,(0:12:59),no,,,,,,,,,,,,,,,,,,,,,
148,(0:13:01),Pain down here?,,,,,,,,,,,,,,,,,,,,,
149,(0:13:02),no,,,,,,,,,,,,,,,,,,,,,
150,(0:13:03),"Squeeze, squeeze, squeeze, as tight as you can, tight, tight, tight",,,,,,,,,,,,,,,,,,,,,
151,(0:13:06) ,"Good, pain here or here?",,,,,,,,,,,,,,,,,,,,,
152,(0:13:07),no,,,,,,,,,,,,,,,,,,,,,
153,(0:13:08),"No obvious injuries, no stepoff, no tender palpation",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160524,,,,,,,,,,,,,,,,,,,,,,,
149,(0:13:54),"So [beep noise] can you help with the log roll? Do you want to go on the other side please, doctor?",,,,,,,,,,,,,,,,,,,,,
150,(0:13:56),"Do you want to go on the other side, please doctor?",,,,,,,,,,,,,,,,,,,,,
151,(0:13:58),Yeah,,,,,,,,,,,,,,,,,,,,,
152,(0:14:06 ),"Here's what we're gonna do. We are gonna keep your head nice and still and we're going to roll you on your side. I'm going to press the handle all the way up and down your back. I just want you to say yes or no [if I'm hurting you?]. Remember not to move your head. When I get down to your bottom [....], make sense",,,,,,,,,,,,,,,,,,,,,
153,(0:14:25 ),"Ready 1,2,3 ",,,,,,,,,,,,,,,,,,,,,
154,(0:14:35 ),"I'm going to move down, any pain?",,,,,,,,,,,,,,,,,,,,,
155,(0:14:36 ),No,,,,,,,,,,,,,,,,,,,,,
156,(0:14:37 ),Yes or no?,,,,,,,,,,,,,,,,,,,,,
157,(0:14:37 ),No,,,,,,,,,,,,,,,,,,,,,
158,(0:14:38 ),Yes or no?,,,,,,,,,,,,,,,,,,,,,
159,(0:14:38 ),No,,,,,,,,,,,,,,,,,,,,,
160,(0:14:39 ),Yes or no?,,,,,,,,,,,,,,,,,,,,,
161,(0:14:39 ),No,,,,,,,,,,,,,,,,,,,,,
162,(0:14:40 ),Yes or no?,,,,,,,,,,,,,,,,,,,,,
163,(0:14:40 ),No,,,,,,,,,,,,,,,,,,,,,
164,(0:14:41 ),Yes or no?,,,,,,,,,,,,,,,,,,,,,
165,(0:14:41 ),No,,,,,,,,,,,,,,,,,,,,,
166,(0:14:42 ),Yes or no?,,,,,,,,,,,,,,,,,,,,,
167,(0:14:42 ),No,,,,,,,,,,,,,,,,,,,,,
168,(0:14:43 ),Yes or no?,,,,,,,,,,,,,,,,,,,,,
169,(0:14:43 ),No,,,,,,,,,,,,,,,,,,,,,
170,(0:14:44 ),Yes or no?,,,,,,,,,,,,,,,,,,,,,
171,(0:14:44 ),No,,,,,,,,,,,,,,,,,,,,,
172,(0:14:45 ),Yes or no?,,,,,,,,,,,,,,,,,,,,,
173,(0:14:45 ),No,,,,,,,,,,,,,,,,,,,,,
174,(0:14:46 ),"Alright squeeze, squeeze,squeeze as tight as you can",,,,,,,,,,,,,,,,,,,,,
175,(0:14:47 ),"Excellent, any pain here or here?",,,,,,,,,,,,,,,,,,,,,
176,(0:14:51 ),"Ah he's got no CTRL spine terminus palpation, he's got no breachable stepoff, no […], fore abrasion that I can appreciate, He's got good tonen on his back side",,,,,,,,,,,,,,,,,,,,,
181,(0:15:31 ),"He's got something, he's got pain on the back here",,,,,,,,,,,,,,,,,,,,,
182,(0:15:44 ),I think we were,,,,,,,,,,,,,,,,,,,,,
183,(0:15:49 ),"When you roll over does, that matter sore",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160601,,,,,,,,,,,,,,,,,,,,,,,
195,(0:21:02),"Ahh, she has an abrasion on her left, left side of her back.",,,,,,,,,,,,,,,,,,,,,
196,(0:21:06),Left side back.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160602,,,,,,,,,,,,,,,,,,,,,,,
66,(0:18:25),"Alright we are gonna roll you okay sweety, you are gonna roll to Monica",,,,,,,,,,,,,,,,,,,,,
71,(0:18:41),"Alright you are gonna roll towards Ms. Monica, okay",,,,,,,,,,,,,,,,,,,,,
72,(0:18:43),On your count,,,,,,,,,,,,,,,,,,,,,
73,(0:18:46),We are not going to let you fall okay,,,,,,,,,,,,,,,,,,,,,
74,(0:18:48),"And I'm just going to touch your back, and you use your words, tell me yes or no for pain",,,,,,,,,,,,,,,,,,,,,
75,(0:18:53),Here? Here? Here? Here? Here?,,,,,,,,,,,,,,,,,,,,,
76,(0:19:03),Here? Here? Here? Here? Here? Here? Here?,,,,,,,,,,,,,,,,,,,,,
77,(0:19:11),Just going to take a quick look at your bottom,,,,,,,,,,,,,,,,,,,,,
78,(0:19:16),"No stepoff on his back, tenderness around T-2 ,T-3",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160621,,,,,,,,,,,,,,,,,,,,,,,
139,(0:19:29),"Alright can, when you guys are done with the IV can we roll him and check the back, get him off the board?",,,,,,,,,,,,,,,,,,,,,
140,(0:19:35),Sir yes sir.,,,,,,,,,,,,,,,,,,,,,
141,(0:19:37),Ok get ready to roll please.,,,,,,,,,,,,,,,,,,,,,
142,(0:19:42),Nurse left.,,,,,,,,,,,,,,,,,,,,,
143,(0:19:43),Whenever you are ready just let me know.,,,,,,,,,,,,,,,,,,,,,
144,(0:19:44),"On you, ready?",,,,,,,,,,,,,,,,,,,,,
145,(0:19:46),1 2 3 roll to nurse left.,,,,,,,,,,,,,,,,,,,,,
146,(0:19:48),Just off the board. Just off the board first then check.,,,,,,,,,,,,,,,,,,,,,
147,(0:20:03),"Ok no spine, stable.",,,,,,,,,,,,,,,,,,,,,
148,(0:20:08),Any bruising?,,,,,,,,,,,,,,,,,,,,,
149,(0:20:09),"No bruises or, ahh, scar or birthmark is, ahh, right at the thigh.",,,,,,,,,,,,,,,,,,,,,
150,(0:20:24),Your count sir?,,,,,,,,,,,,,,,,,,,,,
151,(0:20:25),"Ok on 3 we are going to roll back to search for resin, 1 2 3 roll.",,,,,,,,,,,,,,,,,,,,,
152,(0:20:35),Good job buddy.,,,,,,,,,,,,,,,,,,,,,
153,(0:20:36),"Good job, I know you got a cold and don’t feel good.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160649,,,,,,,,,,,,,,,,,,,,,,,
52,(0:05:15),"So we're gonna, we're gonna buddy, we're gonna rotate you okay",,,,,,,,,,,,,,,,,,,,,
53,(0:05:21),"And then I'm just gonna touch your back, you tell if you have pain say yes and if you don't have pain say no. ",,,,,,,,,,,,,,,,,,,,,
65,(0:06:00),"One, two, three roll",,,,,,,,,,,,,,,,,,,,,
66,(0:06:04),Your okay bud,,,,,,,,,,,,,,,,,,,,,
67,(0:06:06),Guys can you see his face?,,,,,,,,,,,,,,,,,,,,,
68,(0:06:08),"Hold tight, hold tight",,,,,,,,,,,,,,,,,,,,,
69,(0:06:09),Does that hurt? Does that Hurt?,,,,,,,,,,,,,,,,,,,,,
70,(0:06:17),Good boy,,,,,,,,,,,,,,,,,,,,,
71,(0:06:22),Okay make him lay back down,,,,,,,,,,,,,,,,,,,,,
72,(0:06:26),Okay slowly somethings stuck,,,,,,,,,,,,,,,,,,,,,
73,(0:06:29),"Hold tight, hold tight",,,,,,,,,,,,,,,,,,,,,
74,(0:06:34),"Okay you're doing good, you're doing good",,,,,,,,,,,,,,,,,,,,,
75,(0:06:37)," Wait wait wait, that's okay",,,,,,,,,,,,,,,,,,,,,
76,(0:06:39),Other side there's another one,,,,,,,,,,,,,,,,,,,,,
77,(0:06:41),Wait wait wait wait wait wait,,,,,,,,,,,,,,,,,,,,,
80,(0:06:59),Are we calling him oriented or confused on our GCS?,,,,,,,,,,,,,,,,,,,,,
81,(0:07:03),"Ready one, two, three go. Good job",,,,,,,,,,,,,,,,,,,,,
82,(0:07:10),What's our GCS based on your calculations? ,,,,,,,,,,,,,,,,,,,,,
83,(0:07:12),Uh five nine or five thirteen,,,,,,,,,,,,,,,,,,,,,
84,(0:07:15),Yeah up up up. Good Job,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160654,,,,,,,,,,,,,,,,,,,,,,,
110,(0:08:23),So we’re going to turn you on either side [and see your back ok?],,,,,,,,,,,,,,,,,,,,,
111,(0:08:34),Sorry bud.,,,,,,,,,,,,,,,,,,,,,
112,(0:08:36),Where were you riding your bike?,,,,,,,,,,,,,,,,,,,,,
113,(0:08:41),He has abrasions ahh these abrasions are old.,,,,,,,,,,,,,,,,,,,,,
114,(0:08:54),You're also touching his yeah.,,,,,,,,,,,,,,,,,,,,,
115,(0:08:56),It was the knee that he seemed most tender to.,,,,,,,,,,,,,,,,,,,,,
116,(0:09:02),1 2 3.,,,,,,,,,,,,,,,,,,,,,
117,(0:09:06),Alright does your back hurt here? Here? Here? Here? Here? Here? Ok.,,,,,,,,,,,,,,,,,,,,,
118,(0:09:15),Ok well you can roll back.,,,,,,,,,,,,,,,,,,,,,
119,(0:09:19),Alright so his spine is nontender [...] no blood in the rectome.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160723,,,,,,,,,,,,,,,,,,,,,,,
72,(0:12:12),And then we'll roll her,,,,,,,,,,,,,,,,,,,,,
118,(0:15:41),"Okay we're getting some working, I'd like to go ahead and turn her and put her on her back",,,,,,,,,,,,,,,,,,,,,
125,(0:16:48),"Alright how about this, yeah we tilt her this way",,,,,,,,,,,,,,,,,,,,,
126,(0:17:01),"Okay you tell me if your back hurts you, we'll be really careful",,,,,,,,,,,,,,,,,,,,,
127,(0:17:04),Does your back hurt you at all? Does that hurt you? Yes or no?,,,,,,,,,,,,,,,,,,,,,
128,(0:17:10),Yes or no?,,,,,,,,,,,,,,,,,,,,,
129,(0:17:12),"No, stop",,,,,,,,,,,,,,,,,,,,,
130,(0:17:14),"Does that hurt you at all,when I touch? Does it hurt?No good girl does that hurt you at all?",,,,,,,,,,,,,,,,,,,,,
131,(0:17:24),"There's no abrasions um there's no ecchymosis, no stepoffs",,,,,,,,,,,,,,,,,,,,,
132,(0:17:31),"So C, CTL is fine, no tenderness?",,,,,,,,,,,,,,,,,,,,,
133,(0:17:34),No tenderness,,,,,,,,,,,,,,,,,,,,,
134,(0:17:42),Just exam her right here,,,,,,,,,,,,,,,,,,,,,
135,(0:17:52),Such a good girl,,,,,,,,,,,,,,,,,,,,,
136,(0:17:56),Ow that hurts,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160746,,,,,,,,,,,,,,,,,,,,,,,
144,(0:15:06),Keep your back straight ok?,,,,,,,,,,,,,,,,,,,,,
168,(0:16:41),Alright. So we are going to get some help we’re gonna stabilize C-spine and then log roll.,,,,,,,,,,,,,,,,,,,,,
170,(0:17:15),You guys ready? 1 2 3.,,,,,,,,,,,,,,,,,,,,,
171,(0:17:20),Any pain here? Yes or no. Pain?,,,,,,,,,,,,,,,,,,,,,
172,(0:17:25),Have any pain here? Yes or no.,,,,,,,,,,,,,,,,,,,,,
173,(0:17:32),"That’s ok just let it go on the floor, just let it go.",,,,,,,,,,,,,,,,,,,,,
174,(0:17:37),No other deformity on the back.,,,,,,,,,,,,,,,,,,,,,
175,(0:17:40),No lacerations.,,,,,,,,,,,,,,,,,,,,,
176,(0:17:41),No step offs,,,,,,,,,,,,,,,,,,,,,
177,(0:17:42),No step offs,,,,,,,,,,,,,,,,,,,,,
187,(0:18:41),Alright when you are ready we are going to roll back to neutral and then we’ll exchange his column.,,,,,,,,,,,,,,,,,,,,,
192,(0:18:48),Ahh once he is done retching we’ll roll back to neutral and put on a miami J.,,,,,,,,,,,,,,,,,,,,,
200,(0:19:23),Ok if we roll you back over?,,,,,,,,,,,,,,,,,,,,,
208,(0:20:11),1 2 3.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160814,,,,,,,,,,,,,,,,,,,,,,,
163,(0:23:44),[...] on him and then we're going to roll him.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160819,,,,,,,,,,,,,,,,,,,,,,,
183,(0:25:36),"Then what we're gonna do after log rolling is replace the collar, though we're not gonna get a film of the C-spine",,,,,,,,,,,,,,,,,,,,,
187,(0:26:20),Let's just do a quick log roll,,,,,,,,,,,,,,,,,,,,,
190,(0:26:33),"Log roll, back down, switch out collar. Then lateral C-spine, chest […] do",,,,,,,,,,,,,,,,,,,,,
191,(0:26:43),Right arm or left arm?,,,,,,,,,,,,,,,,,,,,,
192,(0:26:43),Right arm and right thigh. I'm just doing…,,,,,,,,,,,,,,,,,,,,,
194,(0:26:55),Who's gonna switch out his arm? so when we log roll him you can…,,,,,,,,,,,,,,,,,,,,,
196,(0:27:24),You're gonna keep this arm up here okay,,,,,,,,,,,,,,,,,,,,,
197,(0:27:28),Are we ready?,,,,,,,,,,,,,,,,,,,,,
199,(0:27:33),Good job,,,,,,,,,,,,,,,,,,,,,
200,(0:27:37),"We got you , we got you",,,,,,,,,,,,,,,,,,,,,
201,(0:27:42),Does this hurt yes or no?,,,,,,,,,,,,,,,,,,,,,
202,(0:27:46),"Your back, does your back hurt?",,,,,,,,,,,,,,,,,,,,,
203,(0:27:48),No,,,,,,,,,,,,,,,,,,,,,
204,(0:27:49),Does it hurt here?,,,,,,,,,,,,,,,,,,,,,
205,(0:27:50),No,,,,,,,,,,,,,,,,,,,,,
206,(0:27:51),Does it hurt here?,,,,,,,,,,,,,,,,,,,,,
207,(0:27:51),No,,,,,,,,,,,,,,,,,,,,,
208,(0:27:53),Down here?,,,,,,,,,,,,,,,,,,,,,
209,(0:27:54),No,,,,,,,,,,,,,,,,,,,,,
210,(0:27:57),"Okay, okay let's do the roll. One, two, three",,,,,,,,,,,,,,,,,,,,,
211,(0:28:01),No stepoff deformities. He's got very superficial abrasion on the right upperback,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
161130,,,,,,,,,,,,,,,,,,,,,,,
54,(0:08:24),I haven't looked at the back yet but I don't see any other signs of brusing or deformities,,,,,,,,,,,,,,,,,,,,,
78,(0:11:03),No step off or deformities,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
161214,,,,,,,,,,,,,,,,,,,,,,,
90,(0:08:17),"Were going to roll you onto your left side, were going to do all the work, ok?",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Time,Speech,,,,,,,,,,,,,,,,,,,,,,
160621,,,,,,,,,,,,,,,,,,,,,,,
0:21:28,Ok get ready to roll please.,before,00:21:37,00:22:21,Log roll-BK,,,,,,,,,,,,,,,,,,
0:21:33,Nurse left. Whenever you are ready just let me know.,before,00:21:46,00:21:57,Visual inspection-BK,,,,,,,,,,,,,,,,,,
0:21:35,"On you, ready?",before,00:21:46,00:21:50,C-spine-BK,,,,,,,,,,,,,,,,,,
0:21:37,1 2 3 roll to nurse left.,during,00:21:50,00:21:54,T-spine-BK,,,,,,,,,,,,,,,,,,
0:21:39,Just off the board. Just off the board first then check.,during,00:21:54,00:21:56,L-spine-BK,,,,,,,,,,,,,,,,,,
0:21:54,"Ok no spine, stable.",during,,,,,,,,,,,,,,,,,,,,,
0:21:59,Any bruising?,during,,,,,,,,,,,,,,,,,,,,,
0:22:00,"No bruises or, ahh, scar or birthmark is, ahh, right at the thigh.",during,,,,,,,,,,,,,,,,,,,,,
0:22:15,Your count sir?,during,,,,,,,,,,,,,,,,,,,,,
0:22:16,"Ok on 3 we are going to roll back to search for resin, 1 2 3 roll.",during,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160737,,,,,,,,,,,,,,,,,,,,,,,
0:17:41,"Whatever order you can try to clear his collar clinically, if you could",during,00:17:41,00:18:01,C-spine-BK,,,,,,,,,,,,,,,,,,
,,before,00:18:29,00:19:10,C-Spine Clearance-SA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0:19:16,Did you check his back yet? Okay,before,00:23:22,00:23:38,Visual inspection-BK,,,,,,,,,,,,,,,,,,
,,,00:23:23,00:23:26,T-spine-BK,,,,,,,,,,,,,,,,,,
,,,00:23:26,00:23:30,L-spine-BK,,,,,,,,,,,,,,,,,,
,,,00:23:31,00:23:36,Rectal-BK,,,,,,,,,,,,,,,,,,
,,,00:23:37,00:23:38,T-spine-BK,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160746,,,,,,,,,,,,,,,,,,,,,,,
0:18:39,Alright. So we are going to get some help we’re gonna stabilize C-spine and then log roll.,before,00:19:17,00:19:45,Visual inspection-BK,,,,,,,,,,,,,,,,,,
,,,00:19:17,00:19:31,T-spine-BK,,,,,,,,,,,,,,,,,,
0:19:13,You guys ready? 1 2 3.,before,00:19:31,00:19:34,L-spine-BK,,,,,,,,,,,,,,,,,,
0:19:18,Any pain here? Yes or no. Pain?,during,00:19:34,00:19:37,T-spine-BK,,,,,,,,,,,,,,,,,,
0:19:23,Have any pain here? Yes or no.,during,00:19:38,00:19:41,L-spine-BK,,,,,,,,,,,,,,,,,,
,,,00:19:41,00:19:43,T-spine-BK,,,,,,,,,,,,,,,,,,
0:19:35,No other deformity on the back.,during,,,,,,,,,,,,,,,,,,,,,
0:19:38,No lacerations.,during,,,,,,,,,,,,,,,,,,,,,
0:19:39,No [step offs].,during,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0:20:32,Sorry you said there was a bender in the back there?,,,,,,,,,,,,,,,,,,,,,,
